K_Value,Text_Num,Topic,TFIDF_acc,TFIDF_pc,TFIDF_rc,TFIDF_f1,TFIDF_fb15,TFIDF_fb20,TFIDF_fb25,TFIDF_fb30,TextRank_acc,TextRank_pc,TextRank_rc,TextRank_f1,TextRank_fb15,TextRank_fb20,TextRank_fb25,TextRank_fb30,LDA_acc,LDA_pc,LDA_rc,LDA_f1,LDA_fb15,LDA_fb20,LDA_fb25,LDA_fb30
2,247,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
2,248,life_rebuild_event,0.1111,0.5,0.125,0.2,0.1625,0.1471,0.1394,0.1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,249,life_rebuild_event,0.1,0.5,0.1111,0.1818,0.1461,0.1316,0.1245,0.1205,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
2,250,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
2,251,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0.5,0.1667,0.25,0.2097,0.1923,0.1836,0.1786
2,252,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
2,253,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0.5,0.1667,0.25,0.2097,0.1923,0.1836,0.1786
2,256,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
2,260,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
2,262,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.6667,0.5909,0.5556,0.537,0.5263
2,263,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0.5,0.1667,0.25,0.2097,0.1923,0.1836,0.1786
2,264,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
2,265,dark experience,0.1429,0.5,0.1667,0.25,0.2097,0.1923,0.1836,0.1786,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
2,270,life_rebuild_event,0.1,0.5,0.1111,0.1818,0.1461,0.1316,0.1245,0.1205,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
3,96,Visually_impaired_mom,0.1667,0.3333,0.25,0.2857,0.2708,0.2632,0.2589,0.2564,0,0,0,0,0,0,0,0,0.4,0.6667,0.5,0.5714,0.5417,0.5263,0.5179,0.5128
3,97,Visually_impaired_mom,0.1667,0.3333,0.25,0.2857,0.2708,0.2632,0.2589,0.2564,0,0,0,0,0,0,0,0,0.4,0.6667,0.5,0.5714,0.5417,0.5263,0.5179,0.5128
3,98,Visually_impaired_mom,0.1667,0.3333,0.25,0.2857,0.2708,0.2632,0.2589,0.2564,0,0,0,0,0,0,0,0,0.4,0.6667,0.5,0.5714,0.5417,0.5263,0.5179,0.5128
3,101,Visually_impaired_mom,0.1667,0.3333,0.25,0.2857,0.2708,0.2632,0.2589,0.2564,0,0,0,0,0,0,0,0,0.75,1,0.75,0.8571,0.8125,0.7895,0.7768,0.7692
3,107,Visually_impaired_mom,0.1667,0.3333,0.25,0.2857,0.2708,0.2632,0.2589,0.2564,0,0,0,0,0,0,0,0,0.4,0.6667,0.5,0.5714,0.5417,0.5263,0.5179,0.5128
3,128,Okmart_charity_event,0.1429,0.3333,0.2,0.25,0.2281,0.2174,0.2117,0.2083,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,129,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,130,Okmart_charity_event,0.1429,0.3333,0.2,0.25,0.2281,0.2174,0.2117,0.2083,0,0,0,0,0,0,0,0,0.6,1,0.6,0.75,0.6842,0.6522,0.635,0.625
3,131,Okmart_charity_event,0.1429,0.3333,0.2,0.25,0.2281,0.2174,0.2117,0.2083,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,132,Okmart_charity_event,0.1429,0.3333,0.2,0.25,0.2281,0.2174,0.2117,0.2083,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,133,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,134,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,135,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,0.4,0.5,0.4561,0.4348,0.4234,0.4167
3,244,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
3,245,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0.3,0.4615,0.3824,0.3488,0.3321,0.3226
3,246,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
3,247,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
3,248,life_rebuild_event,0.1,0.3333,0.125,0.1818,0.1548,0.1429,0.1368,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,249,life_rebuild_event,0.0909,0.3333,0.1111,0.1666,0.1398,0.1282,0.1224,0.119,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
