K_Value,Topic,TFIDF_acc_avg,TFIDF_pc_avg,TFIDF_rc_avg,TFIDF_f1_avg,TFIDF_fb15_avg,TFIDF_fb20_avg,TFIDF_fb25_avg,TFIDF_fb30_avg,TextRank_acc_avg,TextRank_pc_avg,TextRank_rc_avg,TextRank_f1_avg,TextRank_fb15_avg,TextRank_fb20_avg,TextRank_fb25_avg,TextRank_fb30_avg,LDA_acc_avg,LDA_pc_avg,LDA_rc_avg,LDA_f1_avg,LDA_fb15_avg,LDA_fb20_avg,LDA_fb25_avg,LDA_fb30_avg
21,Okmart_charity_event,0.0847,0.0952,0.4,0.1538,0.2015,0.2439,0.2775,0.303,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.2381,0.2381,1,0.3846,0.5039,0.6098,0.6938,0.7576
21,life_rebuild_event,0.0476,0.0635,0.1588,0.0903,0.108,0.1215,0.1309,0.1375,0.0265,0.0371,0.0824,0.0511,0.0598,0.0661,0.0704,0.0733,0.321,0.3373,0.8123,0.4753,0.5646,0.6315,0.678,0.7101
21,dark experience,0.0565,0.0666,0.2667,0.1061,0.1375,0.1651,0.1869,0.2035,0,0,0,0,0,0,0,0,0.2219,0.2286,0.8667,0.3603,0.4635,0.5526,0.6219,0.6737
22,Visually_impaired_mom,0.0833,0.0909,0.5,0.1538,0.2097,0.2631,0.3085,0.3448,0,0,0,0,0,0,0,0,0.1715,0.1727,0.95,0.2923,0.3984,0.5,0.5862,0.6551
22,Okmart_charity_event,0.0865,0.0966,0.425,0.1574,0.2078,0.253,0.2894,0.3172,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.2273,0.2273,1,0.3704,0.4888,0.5953,0.6808,0.7463
22,life_rebuild_event,0.0459,0.0606,0.1588,0.0874,0.1054,0.1193,0.1292,0.1361,0.0259,0.0361,0.0824,0.0501,0.0589,0.0654,0.0699,0.0729,0.3071,0.322,0.8123,0.4598,0.5511,0.6204,0.6691,0.703
22,dark experience,0.0542,0.0637,0.2667,0.1022,0.1335,0.1614,0.1836,0.2005,0,0,0,0,0,0,0,0,0.2121,0.2182,0.8667,0.3472,0.4501,0.54,0.6108,0.6642
23,Visually_impaired_mom,0.08,0.087,0.5,0.1482,0.2032,0.2565,0.3022,0.339,0,0,0,0,0,0,0,0,0.1641,0.1652,0.95,0.2815,0.3859,0.4872,0.5739,0.644
23,Okmart_charity_event,0.0997,0.1087,0.5,0.1785,0.2372,0.2907,0.3341,0.3676,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.2174,0.2174,1,0.3572,0.4745,0.5814,0.6682,0.7353
23,life_rebuild_event,0.0444,0.058,0.1588,0.0846,0.1029,0.1172,0.1275,0.1347,0.0254,0.0351,0.0824,0.0491,0.058,0.0647,0.0693,0.0725,0.2988,0.3116,0.8215,0.4506,0.5444,0.6167,0.6681,0.704
23,dark experience,0.0522,0.0609,0.2667,0.0986,0.1297,0.1577,0.1803,0.1977,0,0,0,0,0,0,0,0,0.2031,0.2087,0.8667,0.3351,0.4374,0.5281,0.6001,0.6551
